opor_co_no,opor_no,opor_pwd,co_no,pd_no,exch_group_no,asset_acco_no_str
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410019,41410019,41410019;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410020,41410020,41410020;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410021,41410021,41410021;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410022,41410022,41410022;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410023,41410023,41410023;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410024,41410024,41410024;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410025,41410025,41410025;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410026,41410026,41410026;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410027,41410027,41410027;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410028,41410028,41410028;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410029,41410029,41410029;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410030,41410030,41410030;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410031,41410031,41410031;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410032,41410032,41410032;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410033,41410033,41410033;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410034,41410034,41410034;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410035,41410035,41410035;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410036,41410036,41410036;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410037,41410037,41410037;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410038,41410038,41410038;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410039,41410039,41410039;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410040,41410040,41410040;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410041,41410041,41410041;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410042,41410042,41410042;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410043,41410043,41410043;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410044,41410044,41410044;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410045,41410045,41410045;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410046,41410046,41410046;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410047,41410047,41410047;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410048,41410048,41410048;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410049,41410049,41410049;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410050,41410050,41410050;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410051,41410051,41410051;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410052,41410052,41410052;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410053,41410053,41410053;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410054,41410054,41410054;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410055,41410055,41410055;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410056,41410056,41410056;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410057,41410057,41410057;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410058,41410058,41410058;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410059,41410059,41410059;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410060,41410060,41410060;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410061,41410061,41410061;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410062,41410062,41410062;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410063,41410063,41410063;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410064,41410064,41410064;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410065,41410065,41410065;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410066,41410066,41410066;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410067,41410067,41410067;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410068,41410068,41410068;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410069,41410069,41410069;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410070,41410070,41410070;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410071,41410071,41410071;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410072,41410072,41410072;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410073,41410073,41410073;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410074,41410074,41410074;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410075,41410075,41410075;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410076,41410076,41410076;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410077,41410077,41410077;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410078,41410078,41410078;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410079,41410079,41410079;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410080,41410080,41410080;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410081,41410081,41410081;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410082,41410082,41410082;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410083,41410083,41410083;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410084,41410084,41410084;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410085,41410085,41410085;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410086,41410086,41410086;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410087,41410087,41410087;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410088,41410088,41410088;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410089,41410089,41410089;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410090,41410090,41410090;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410091,41410091,41410091;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410092,41410092,41410092;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410093,41410093,41410093;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410094,41410094,41410094;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410095,41410095,41410095;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410096,41410096,41410096;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410097,41410097,41410097;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410098,41410098,41410098;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410099,41410099,41410099;
4141,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410100,41410100,41410100;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420001,42420001,42420001;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420002,42420002,42420002;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420003,42420003,42420003;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420004,42420004,42420004;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420005,42420005,42420005;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420006,42420006,42420006;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420007,42420007,42420007;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420008,42420008,42420008;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420009,42420009,42420009;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420010,42420010,42420010;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420011,42420011,42420011;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420012,42420012,42420012;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420013,42420013,42420013;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420014,42420014,42420014;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420015,42420015,42420015;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420016,42420016,42420016;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420017,42420017,42420017;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420018,42420018,42420018;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420019,42420019,42420019;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420020,42420020,42420020;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420021,42420021,42420021;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420022,42420022,42420022;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420023,42420023,42420023;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420024,42420024,42420024;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420025,42420025,42420025;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420026,42420026,42420026;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420027,42420027,42420027;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420028,42420028,42420028;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420029,42420029,42420029;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420030,42420030,42420030;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420031,42420031,42420031;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420032,42420032,42420032;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420033,42420033,42420033;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420034,42420034,42420034;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420035,42420035,42420035;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420036,42420036,42420036;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420037,42420037,42420037;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420038,42420038,42420038;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420039,42420039,42420039;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420040,42420040,42420040;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420041,42420041,42420041;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420042,42420042,42420042;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420043,42420043,42420043;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420044,42420044,42420044;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420045,42420045,42420045;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420046,42420046,42420046;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420047,42420047,42420047;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420048,42420048,42420048;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420049,42420049,42420049;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420050,42420050,42420050;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420051,42420051,42420051;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420052,42420052,42420052;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420053,42420053,42420053;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420054,42420054,42420054;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420055,42420055,42420055;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420056,42420056,42420056;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420057,42420057,42420057;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420058,42420058,42420058;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420059,42420059,42420059;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420060,42420060,42420060;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420061,42420061,42420061;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420062,42420062,42420062;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420063,42420063,42420063;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420064,42420064,42420064;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420065,42420065,42420065;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420066,42420066,42420066;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420067,42420067,42420067;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420068,42420068,42420068;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420069,42420069,42420069;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420070,42420070,42420070;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420071,42420071,42420071;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420072,42420072,42420072;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420073,42420073,42420073;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420074,42420074,42420074;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420075,42420075,42420075;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420076,42420076,42420076;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420077,42420077,42420077;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420078,42420078,42420078;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420079,42420079,42420079;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420080,42420080,42420080;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420081,42420081,42420081;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420082,42420082,42420082;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420083,42420083,42420083;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420084,42420084,42420084;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420085,42420085,42420085;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420086,42420086,42420086;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420087,42420087,42420087;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420088,42420088,42420088;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420089,42420089,42420089;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420090,42420090,42420090;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420091,42420091,42420091;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420092,42420092,42420092;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420093,42420093,42420093;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420094,42420094,42420094;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420095,42420095,42420095;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420096,42420096,42420096;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420097,42420097,42420097;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420098,42420098,42420098;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420099,42420099,42420099;
4242,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420100,42420100,42420100;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430001,43430001,43430001;
