opor_co_no,opor_no,query_opor_no,opor_pwd,co_no,pd_no,exch_group_no,asset_acco_no,order_batch_no
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410036,41410036,41410036,0036
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410037,41410037,41410037,0037
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410038,41410038,41410038,0038
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410039,41410039,41410039,0039
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410040,41410040,41410040,0040
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410041,41410041,41410041,0041
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410042,41410042,41410042,0042
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410043,41410043,41410043,0043
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410044,41410044,41410044,0044
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410045,41410045,41410045,0045
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410046,41410046,41410046,0046
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410047,41410047,41410047,0047
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410048,41410048,41410048,0048
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410049,41410049,41410049,0049
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410050,41410050,41410050,0050
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410051,41410051,41410051,0051
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410052,41410052,41410052,0052
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410053,41410053,41410053,0053
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410054,41410054,41410054,0054
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410055,41410055,41410055,0055
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410056,41410056,41410056,0056
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410057,41410057,41410057,0057
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410058,41410058,41410058,0058
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410059,41410059,41410059,0059
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410060,41410060,41410060,0060
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410061,41410061,41410061,0061
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410062,41410062,41410062,0062
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410063,41410063,41410063,0063
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410064,41410064,41410064,0064
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410065,41410065,41410065,0065
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410066,41410066,41410066,0066
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410067,41410067,41410067,0067
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410068,41410068,41410068,0068
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410069,41410069,41410069,0069
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410070,41410070,41410070,0070
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410071,41410071,41410071,0071
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410072,41410072,41410072,0072
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410073,41410073,41410073,0073
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410074,41410074,41410074,0074
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410075,41410075,41410075,0075
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410076,41410076,41410076,0076
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410077,41410077,41410077,0077
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410078,41410078,41410078,0078
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410079,41410079,41410079,0079
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410080,41410080,41410080,0080
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410081,41410081,41410081,0081
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410082,41410082,41410082,0082
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410083,41410083,41410083,0083
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410084,41410084,41410084,0084
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410085,41410085,41410085,0085
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410086,41410086,41410086,0086
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410087,41410087,41410087,0087
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410088,41410088,41410088,0088
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410089,41410089,41410089,0089
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410090,41410090,41410090,0090
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410091,41410091,41410091,0091
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410092,41410092,41410092,0092
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410093,41410093,41410093,0093
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410094,41410094,41410094,0094
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410095,41410095,41410095,0095
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410096,41410096,41410096,0096
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410097,41410097,41410097,0097
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410098,41410098,41410098,0098
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410099,41410099,41410099,0099
4141,41410001,41410001,NGFhOTE3ZGRkZjZmZDRjNmViMGI5Zjc3ZTU2YTVmZWI=,4141,41410100,41410100,41410100,0100
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420001,42420001,42420001,0101
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420002,42420002,42420002,0102
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420003,42420003,42420003,0103
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420004,42420004,42420004,0104
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420005,42420005,42420005,0105
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420006,42420006,42420006,0106
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420007,42420007,42420007,0107
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420008,42420008,42420008,0108
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420009,42420009,42420009,0109
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420010,42420010,42420010,0110
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420011,42420011,42420011,0111
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420012,42420012,42420012,0112
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420013,42420013,42420013,0113
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420014,42420014,42420014,0114
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420015,42420015,42420015,0115
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420016,42420016,42420016,0116
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420017,42420017,42420017,0117
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420018,42420018,42420018,0118
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420019,42420019,42420019,0119
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420020,42420020,42420020,0120
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420021,42420021,42420021,0121
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420022,42420022,42420022,0122
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420023,42420023,42420023,0123
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420024,42420024,42420024,0124
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420025,42420025,42420025,0125
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420026,42420026,42420026,0126
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420027,42420027,42420027,0127
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420028,42420028,42420028,0128
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420029,42420029,42420029,0129
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420030,42420030,42420030,0130
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420031,42420031,42420031,0131
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420032,42420032,42420032,0132
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420033,42420033,42420033,0133
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420034,42420034,42420034,0134
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420035,42420035,42420035,0135
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420036,42420036,42420036,0136
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420037,42420037,42420037,0137
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420038,42420038,42420038,0138
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420039,42420039,42420039,0139
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420040,42420040,42420040,0140
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420041,42420041,42420041,0141
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420042,42420042,42420042,0142
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420043,42420043,42420043,0143
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420044,42420044,42420044,0144
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420045,42420045,42420045,0145
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420046,42420046,42420046,0146
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420047,42420047,42420047,0147
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420048,42420048,42420048,0148
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420049,42420049,42420049,0149
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420050,42420050,42420050,0150
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420051,42420051,42420051,0151
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420052,42420052,42420052,0152
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420053,42420053,42420053,0153
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420054,42420054,42420054,0154
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420055,42420055,42420055,0155
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420056,42420056,42420056,0156
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420057,42420057,42420057,0157
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420058,42420058,42420058,0158
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420059,42420059,42420059,0159
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420060,42420060,42420060,0160
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420061,42420061,42420061,0161
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420062,42420062,42420062,0162
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420063,42420063,42420063,0163
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420064,42420064,42420064,0164
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420065,42420065,42420065,0165
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420066,42420066,42420066,0166
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420067,42420067,42420067,0167
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420068,42420068,42420068,0168
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420069,42420069,42420069,0169
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420070,42420070,42420070,0170
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420071,42420071,42420071,0171
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420072,42420072,42420072,0172
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420073,42420073,42420073,0173
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420074,42420074,42420074,0174
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420075,42420075,42420075,0175
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420076,42420076,42420076,0176
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420077,42420077,42420077,0177
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420078,42420078,42420078,0178
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420079,42420079,42420079,0179
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420080,42420080,42420080,0180
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420081,42420081,42420081,0181
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420082,42420082,42420082,0182
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420083,42420083,42420083,0183
4242,42420001,42420001,NzhmOTdhNzdmYWNiZDJlMzg1ODZiNTNmZjYyZDA4MWY=,4242,42420084,42420084,42420084,0184
